torneo,anno,tipo,sezione,turni,rango,nome,fed,rating,punti,performance
137973,2014,rapid,open,,1,Carlsen Magnus,NOR,2827,11.0,2899.0
137973,2014,rapid,open,,2,Caruana Fabiano,ITA,2840,10.5,2884.0
137973,2014,rapid,open,,3,Anand Viswanathan,IND,2770,10.5,2866.0
137973,2014,rapid,open,,4,Aronian Levon,ARM,2785,10.5,2852.0
137973,2014,rapid,open,,5,Morozevich Alexander,RUS,2732,10.5,2831.0
137973,2014,rapid,open,,6,Tomashevsky Evgeny,RUS,2693,10.0,2840.0
137973,2014,rapid,open,,7,Karjakin Sergey,RUS,2781,10.0,2845.0
137973,2014,rapid,open,,8,Grischuk Alexander,RUS,2828,10.0,2825.0
137973,2014,rapid,open,,9,Radjabov Teimour,AZE,2750,10.0,2816.0
137973,2014,rapid,open,,10,Svidler Peter,RUS,2787,10.0,2804.0
137973,2014,rapid,open,,11,Bacrot Etienne,FRA,2692,10.0,2790.0
137973,2014,rapid,open,,12,Yu Yangyi,CHN,2668,9.5,2790.0
137973,2014,rapid,open,,13,Mamedov Rauf,AZE,2705,9.5,2706.0
137973,2014,rapid,open,,14,Jobava Baadur,GEO,2688,9.0,2782.0
137973,2014,rapid,open,,15,Nguyen Ngoc Truong Son,VIE,2660,9.0,2764.0
137973,2014,rapid,open,,16,Iturrizaga Bonelli Eduardo,VEN,2652,9.0,2766.0
137973,2014,rapid,open,,17,Movsesian Sergei,ARM,2696,9.0,2762.0
137973,2014,rapid,open,,18,Guseinov Gadir,AZE,2671,9.0,2760.0
137973,2014,rapid,open,,19,Le Quang Liem,VIE,2724,9.0,2750.0
137973,2014,rapid,open,,20,Efimenko Zahar,UKR,2677,9.0,2727.0
137973,2014,rapid,open,,21,Wang Hao,CHN,2716,9.0,2721.0
137973,2014,rapid,open,,22,Eljanov Pavel,UKR,2716,9.0,2708.0
137973,2014,rapid,open,,23,Antipov Mikhail Al.,RUS,2576,9.0,2687.0
137973,2014,rapid,open,,24,Nepomniachtchi Ian,RUS,2768,8.5,2778.0
137973,2014,rapid,open,,25,Fressinet Laurent,FRA,2681,8.5,2743.0
137973,2014,rapid,open,,26,Yudin Sergei,RUS,2626,8.5,2748.0
137973,2014,rapid,open,,27,Salgado Lopez Ivan,ESP,2630,8.5,2736.0
137973,2014,rapid,open,,28,Riazantsev Alexander,RUS,2597,8.5,2720.0
137973,2014,rapid,open,,29,Nakamura Hikaru,USA,2841,8.5,2736.0
137973,2014,rapid,open,,30,Bartel Mateusz,POL,2593,8.5,2710.0
137973,2014,rapid,open,,31,Naiditsch Arkadij,GER,2687,8.5,2711.0
137973,2014,rapid,open,,32,Meier Georg,GER,2677,8.5,2699.0
137973,2014,rapid,open,,33,Vallejo Pons Francisco,ESP,2709,8.5,2704.0
137973,2014,rapid,open,,34,Matlakov Maxim,RUS,2649,8.5,2674.0
137973,2014,rapid,open,,35,Moiseenko Alexander,UKR,2699,8.5,2691.0
137973,2014,rapid,open,,36,Vitiugov Nikita,RUS,2708,8.5,2681.0
137973,2014,rapid,open,,37,Fedoseev Vladimir,RUS,2656,8.5,2658.0
137973,2014,rapid,open,,38,Zhigalko Sergei,BLR,2679,8.5,2662.0
137973,2014,rapid,open,,39,Cheparinov Ivan,BUL,2727,8.5,2655.0
137973,2014,rapid,open,,40,Van Wely Loek,NED,2674,8.0,2713.0
137973,2014,rapid,open,,41,Dubov Daniil,RUS,2624,8.0,2682.0
137973,2014,rapid,open,,42,Vachier-Lagrave Maxime,FRA,2749,8.0,2694.0
137973,2014,rapid,open,,43,Najer Evgeniy,RUS,2657,8.0,2666.0
137973,2014,rapid,open,,44,Kryvoruchko Yuriy,UKR,2694,8.0,2673.0
137973,2014,rapid,open,,45,Adly Ahmed,EGY,2634,8.0,2666.0
137973,2014,rapid,open,,46,Potkin Vladimir,RUS,2682,8.0,2668.0
137973,2014,rapid,open,,47,Sargissian Gabriel,ARM,2665,8.0,2661.0
137973,2014,rapid,open,,48,Dreev Aleksey,RUS,2709,8.0,2672.0
137973,2014,rapid,open,,49,Ragger Markus,AUT,2701,8.0,2647.0
137973,2014,rapid,open,,50,Lu Shanglei,CHN,2536,8.0,2593.0
137973,2014,rapid,open,,51,Milov Vadim,SUI,2664,8.0,2609.0
