torneo,anno,tipo,sezione,turni,rango,nome,fed,rating,punti,performance,gio,nato,std,eta
137973,2014,rapid,open,,1,Carlsen Magnus,NOR,2827.0,11.0,2899.0,carlsen magnus,1990.0,2823.0,24.0
137973,2014,rapid,open,,2,Caruana Fabiano,ITA,2840.0,10.5,2884.0,caruana fabiano,1992.0,2789.0,22.0
137973,2014,rapid,open,,3,Anand Viswanathan,IND,2770.0,10.5,2866.0,anand viswanathan,1969.0,2739.0,45.0
137973,2014,rapid,open,,4,Aronian Levon,ARM,2785.0,10.5,2852.0,aronian levon,1982.0,2725.0,32.0
137973,2014,rapid,open,,5,Morozevich Alexander,RUS,2732.0,10.5,2831.0,alexander morozevich,1977.0,2654.0,37.0
137973,2014,rapid,open,,6,Tomashevsky Evgeny,RUS,2693.0,10.0,2840.0,evgeny tomashevsky,1987.0,2681.0,27.0
137973,2014,rapid,open,,7,Karjakin Sergey,RUS,2781.0,10.0,2845.0,karjakin sergey,1990.0,2750.0,24.0
137973,2014,rapid,open,,8,Grischuk Alexander,RUS,2828.0,10.0,2825.0,alexander grischuk,1983.0,2628.0,31.0
137973,2014,rapid,open,,9,Radjabov Teimour,AZE,2750.0,10.0,2816.0,radjabov teimour,1987.0,2689.0,27.0
137973,2014,rapid,open,,10,Svidler Peter,RUS,2787.0,10.0,2804.0,peter svidler,1976.0,2682.0,38.0
137973,2014,rapid,open,,11,Bacrot Etienne,FRA,2692.0,10.0,2790.0,bacrot etienne,1983.0,2620.0,31.0
137973,2014,rapid,open,,12,Yu Yangyi,CHN,2668.0,9.5,2790.0,yangyi yu,1994.0,2710.0,20.0
137973,2014,rapid,open,,13,Mamedov Rauf,AZE,2705.0,9.5,2706.0,mamedov rauf,1988.0,2631.0,26.0
137973,2014,rapid,open,,14,Jobava Baadur,GEO,2688.0,9.0,2782.0,baadur jobava,1983.0,2576.0,31.0
137973,2014,rapid,open,,15,Nguyen Ngoc Truong Son,VIE,2660.0,9.0,2764.0,ngoc nguyen son truong,1990.0,2600.0,24.0
137973,2014,rapid,open,,16,Iturrizaga Bonelli Eduardo,VEN,2652.0,9.0,2766.0,bonelli eduardo iturrizaga,1989.0,2595.0,25.0
137973,2014,rapid,open,,17,Movsesian Sergei,ARM,2696.0,9.0,2762.0,movsesian sergei,1978.0,2594.0,36.0
